question_id,question,ground_truth_answer,question_type,difficulty,evaluation_focus,is_answerable,expected_case_id,expected_source_file,expected_chunk_type,expected_answer_keywords,ideal_response_behavior,notes
Q011,What are the patient age and BMI for case Ovarian_Cystectomy_2025-10-11_08-07-00?,"For case Ovarian_Cystectomy_2025-10-11_08-07-00, the patient age was 69 and BMI was 31.3.",direct_fact,easy,patient_metadata,True,Ovarian_Cystectomy_2025-10-11_08-07-00,Ovarian_Cystectomy_2025-10-11_08-07-00.json,patient_timing,69|31.3,Answer from retrieved context only.,
Q012,What are the patient age and BMI for case Partial_or_Total_Nephrectomy_2025-10-12_16-01-00?,"For case Partial_or_Total_Nephrectomy_2025-10-12_16-01-00, the patient age was 68 and BMI was 23.6.",direct_fact,easy,patient_metadata,True,Partial_or_Total_Nephrectomy_2025-10-12_16-01-00,Partial_or_Total_Nephrectomy_2025-10-12_16-01-00.json,patient_timing,68|23.6,Answer from retrieved context only.,
Q013,What are the patient age and BMI for case Prostatectomy_2025-10-13_14-46-00?,"For case Prostatectomy_2025-10-13_14-46-00, the patient age was 70 and BMI was 21.1.",direct_fact,easy,patient_metadata,True,Prostatectomy_2025-10-13_14-46-00,Prostatectomy_2025-10-13_14-46-00.json,patient_timing,70|21.1,Answer from retrieved context only.,
Q014,What are the patient age and BMI for case Hernia_Repair_2025-10-14_17-07-00?,"For case Hernia_Repair_2025-10-14_17-07-00, the patient age was 69 and BMI was 25.0.",direct_fact,easy,patient_metadata,True,Hernia_Repair_2025-10-14_17-07-00,Hernia_Repair_2025-10-14_17-07-00.json,patient_timing,69|25.0,Answer from retrieved context only.,
Q015,What are the patient age and BMI for case Appendectomy_2025-10-15_15-43-00?,"For case Appendectomy_2025-10-15_15-43-00, the patient age was 60 and BMI was 20.8.",direct_fact,easy,patient_metadata,True,Appendectomy_2025-10-15_15-43-00,Appendectomy_2025-10-15_15-43-00.json,patient_timing,60|20.8,Answer from retrieved context only.,
Q016,"What was the start time, stop time, and duration for case Hysterectomy_2025-10-16_14-05-00?","For case Hysterectomy_2025-10-16_14-05-00, surgery started at 2025-10-16 14:05:00, stopped at 2025-10-16 15:50:00, and lasted 1:45:00.",direct_fact,medium,timing_retrieval,True,Hysterectomy_2025-10-16_14-05-00,Hysterectomy_2025-10-16_14-05-00.json,patient_timing|case_summary,2025-10-16 14:05:00|2025-10-16 15:50:00|1:45:00,Answer from retrieved context only.,
Q017,"What was the start time, stop time, and duration for case Cholecystectomy_2025-10-17_16-34-00?","For case Cholecystectomy_2025-10-17_16-34-00, surgery started at 2025-10-17 16:34:00, stopped at 2025-10-17 18:04:00, and lasted 1:30:00.",direct_fact,medium,timing_retrieval,True,Cholecystectomy_2025-10-17_16-34-00,Cholecystectomy_2025-10-17_16-34-00.json,patient_timing|case_summary,2025-10-17 16:34:00|2025-10-17 18:04:00|1:30:00,Answer from retrieved context only.,
Q018,"What was the start time, stop time, and duration for case Myomectomy_2025-10-18_13-27-00?","For case Myomectomy_2025-10-18_13-27-00, surgery started at 2025-10-18 13:27:00, stopped at 2025-10-18 14:09:00, and lasted 0:42:00.",direct_fact,medium,timing_retrieval,True,Myomectomy_2025-10-18_13-27-00,Myomectomy_2025-10-18_13-27-00.json,patient_timing|case_summary,2025-10-18 13:27:00|2025-10-18 14:09:00|0:42:00,Answer from retrieved context only.,
Q019,"What was the start time, stop time, and duration for case Ovarian_Cystectomy_2025-10-19_08-32-00?","For case Ovarian_Cystectomy_2025-10-19_08-32-00, surgery started at 2025-10-19 08:32:00, stopped at 2025-10-19 09:40:00, and lasted 1:08:00.",direct_fact,medium,timing_retrieval,True,Ovarian_Cystectomy_2025-10-19_08-32-00,Ovarian_Cystectomy_2025-10-19_08-32-00.json,patient_timing|case_summary,2025-10-19 08:32:00|2025-10-19 09:40:00|1:08:00,Answer from retrieved context only.,
Q020,"What was the start time, stop time, and duration for case Partial_or_Total_Nephrectomy_2025-10-20_13-43-00?","For case Partial_or_Total_Nephrectomy_2025-10-20_13-43-00, surgery started at 2025-10-20 13:43:00, stopped at 2025-10-20 14:26:00, and lasted 0:43:00.",direct_fact,medium,timing_retrieval,True,Partial_or_Total_Nephrectomy_2025-10-20_13-43-00,Partial_or_Total_Nephrectomy_2025-10-20_13-43-00.json,patient_timing|case_summary,2025-10-20 13:43:00|2025-10-20 14:26:00|0:43:00,Answer from retrieved context only.,
Q021,How many clutch pedal and camera pedal events were recorded for case Prostatectomy_2025-10-21_08-51-00?,"For case Prostatectomy_2025-10-21_08-51-00, there were 40 clutch pedal events and 26 camera pedal events.",direct_fact,medium,pedal_activity,True,Prostatectomy_2025-10-21_08-51-00,Prostatectomy_2025-10-21_08-51-00.json,pedal_activity,40|26,Answer from retrieved context only.,
Q022,How many clutch pedal and camera pedal events were recorded for case Hernia_Repair_2025-10-22_08-21-00?,"For case Hernia_Repair_2025-10-22_08-21-00, there were 41 clutch pedal events and 25 camera pedal events.",direct_fact,medium,pedal_activity,True,Hernia_Repair_2025-10-22_08-21-00,Hernia_Repair_2025-10-22_08-21-00.json,pedal_activity,41|25,Answer from retrieved context only.,
Q023,How many clutch pedal and camera pedal events were recorded for case Appendectomy_2025-10-23_13-29-00?,"For case Appendectomy_2025-10-23_13-29-00, there were 38 clutch pedal events and 10 camera pedal events.",direct_fact,medium,pedal_activity,True,Appendectomy_2025-10-23_13-29-00,Appendectomy_2025-10-23_13-29-00.json,pedal_activity,38|10,Answer from retrieved context only.,
Q024,How many clutch pedal and camera pedal events were recorded for case Hysterectomy_2025-10-24_08-06-00?,"For case Hysterectomy_2025-10-24_08-06-00, there were 56 clutch pedal events and 21 camera pedal events.",direct_fact,medium,pedal_activity,True,Hysterectomy_2025-10-24_08-06-00,Hysterectomy_2025-10-24_08-06-00.json,pedal_activity,56|21,Answer from retrieved context only.,
Q025,How many clutch pedal and camera pedal events were recorded for case Cholecystectomy_2025-10-25_13-31-00?,"For case Cholecystectomy_2025-10-25_13-31-00, there were 28 clutch pedal events and 12 camera pedal events.",direct_fact,medium,pedal_activity,True,Cholecystectomy_2025-10-25_13-31-00,Cholecystectomy_2025-10-25_13-31-00.json,pedal_activity,28|12,Answer from retrieved context only.,
Q026,Which instruments were used in case Myomectomy_2025-10-26_17-36-00?,"The instruments used in case Myomectomy_2025-10-26_17-36-00 were: Endowrist_Stapler_30_Instrument, Long_Bipolar_Grasper, Mega_Suturecut_Needle_Driver, Monopolar_Cautery_Hook, Prograsp_Forceps, SynchroSeal, Tenaculum_Forceps.",instrument_list,medium,instrument_retrieval,True,Myomectomy_2025-10-26_17-36-00,Myomectomy_2025-10-26_17-36-00.json,instrument_summary,Endowrist_Stapler_30_Instrument|Long_Bipolar_Grasper|Mega_Suturecut_Needle_Driver|Monopolar_Cautery_Hook|Prograsp_Forceps|SynchroSeal|Tenaculum_Forceps,Answer from retrieved context only.,
Q027,Which instruments were used in case Ovarian_Cystectomy_2025-10-27_11-04-00?,"The instruments used in case Ovarian_Cystectomy_2025-10-27_11-04-00 were: Atrial_Retractor_Short_Right, Dual_Blade_Retractor, Endowrist_Stapler_30_Instrument, Force_Bipolar, Large_Needle_Driver, Maryland_Bipolar_Forceps, Small_Graptor, SynchroSeal.",instrument_list,medium,instrument_retrieval,True,Ovarian_Cystectomy_2025-10-27_11-04-00,Ovarian_Cystectomy_2025-10-27_11-04-00.json,instrument_summary,Atrial_Retractor_Short_Right|Dual_Blade_Retractor|Endowrist_Stapler_30_Instrument|Force_Bipolar|Large_Needle_Driver|Maryland_Bipolar_Forceps|Small_Graptor|SynchroSeal,Answer from retrieved context only.,
Q028,Which instruments were used in case Partial_or_Total_Nephrectomy_2025-10-28_09-49-00?,"The instruments used in case Partial_or_Total_Nephrectomy_2025-10-28_09-49-00 were: Cadiere_Forceps, Long_Bipolar_Grasper, Maryland_Bipolar_Forceps, Medium_Large_Clip_Applier, Mega_Suturecut_Needle_Driver, Monopolar_Curved_Scissors, Small_Graptor, Suction Irrigation.",instrument_list,medium,instrument_retrieval,True,Partial_or_Total_Nephrectomy_2025-10-28_09-49-00,Partial_or_Total_Nephrectomy_2025-10-28_09-49-00.json,instrument_summary,Cadiere_Forceps|Long_Bipolar_Grasper|Maryland_Bipolar_Forceps|Medium_Large_Clip_Applier|Mega_Suturecut_Needle_Driver|Monopolar_Curved_Scissors|Small_Graptor|Suction Irrigation,Answer from retrieved context only.,
Q029,Which instruments were used in case Prostatectomy_2025-11-01_14-48-00?,"The instruments used in case Prostatectomy_2025-11-01_14-48-00 were: Cadiere_Forceps, Endowrist_Stapler_30_Instrument, Medium_Large_Clip_Applier, Mega_Suturecut_Needle_Driver, Prograsp_Forceps, SynchroSeal.",instrument_list,medium,instrument_retrieval,True,Prostatectomy_2025-11-01_14-48-00,Prostatectomy_2025-11-01_14-48-00.json,instrument_summary,Cadiere_Forceps|Endowrist_Stapler_30_Instrument|Medium_Large_Clip_Applier|Mega_Suturecut_Needle_Driver|Prograsp_Forceps|SynchroSeal,Answer from retrieved context only.,
Q030,Which instruments were used in case Hernia_Repair_2025-11-02_11-03-00?,"The instruments used in case Hernia_Repair_2025-11-02_11-03-00 were: Black_Diamond_Micro_Forceps, Endowrist_Stapler_30_Instrument, Maryland_Bipolar_Forceps, Mega_Suturecut_Needle_Driver, Monopolar_Cautery_Hook, Potts_Scissors, Suction Irrigation.",instrument_list,medium,instrument_retrieval,True,Hernia_Repair_2025-11-02_11-03-00,Hernia_Repair_2025-11-02_11-03-00.json,instrument_summary,Black_Diamond_Micro_Forceps|Endowrist_Stapler_30_Instrument|Maryland_Bipolar_Forceps|Mega_Suturecut_Needle_Driver|Monopolar_Cautery_Hook|Potts_Scissors|Suction Irrigation,Answer from retrieved context only.,
Q031,Which instruments were used in case Appendectomy_2025-11-03_09-34-00?,"The instruments used in case Appendectomy_2025-11-03_09-34-00 were: Black_Diamond_Micro_Forceps, Large_Needle_Driver, Long_Tip_Forceps, Maryland_Bipolar_Forceps, Potts_Scissors, Tenaculum_Forceps.",instrument_list,medium,instrument_retrieval,True,Appendectomy_2025-11-03_09-34-00,Appendectomy_2025-11-03_09-34-00.json,instrument_summary,Black_Diamond_Micro_Forceps|Large_Needle_Driver|Long_Tip_Forceps|Maryland_Bipolar_Forceps|Potts_Scissors|Tenaculum_Forceps,Answer from retrieved context only.,
Q032,Which instruments were used in case Hysterectomy_2025-11-04_16-39-00?,"The instruments used in case Hysterectomy_2025-11-04_16-39-00 were: Cadiere_Forceps, Large_Clip_Applier, Potts_Scissors, SynchroSeal, Tenaculum_Forceps.",instrument_list,medium,instrument_retrieval,True,Hysterectomy_2025-11-04_16-39-00,Hysterectomy_2025-11-04_16-39-00.json,instrument_summary,Cadiere_Forceps|Large_Clip_Applier|Potts_Scissors|SynchroSeal|Tenaculum_Forceps,Answer from retrieved context only.,
Q033,Which instruments were used in case Cholecystectomy_2025-11-05_13-31-00?,"The instruments used in case Cholecystectomy_2025-11-05_13-31-00 were: Cadiere_Forceps, Large_Clip_Applier, Maryland_Bipolar_Forceps, Mega_Suturecut_Needle_Driver, Monopolar_Curved_Scissors, Small_Graptor, Tenaculum_Forceps.",instrument_list,medium,instrument_retrieval,True,Cholecystectomy_2025-11-05_13-31-00,Cholecystectomy_2025-11-05_13-31-00.json,instrument_summary,Cadiere_Forceps|Large_Clip_Applier|Maryland_Bipolar_Forceps|Mega_Suturecut_Needle_Driver|Monopolar_Curved_Scissors|Small_Graptor|Tenaculum_Forceps,Answer from retrieved context only.,
Q034,Which instruments were used in case Myomectomy_2025-11-06_14-15-00?,"The instruments used in case Myomectomy_2025-11-06_14-15-00 were: Black_Diamond_Micro_Forceps, Force_Bipolar, Monopolar_Cautery_Hook, Small_Graptor, SureForm_45_Instruments, SynchroSeal.",instrument_list,medium,instrument_retrieval,True,Myomectomy_2025-11-06_14-15-00,Myomectomy_2025-11-06_14-15-00.json,instrument_summary,Black_Diamond_Micro_Forceps|Force_Bipolar|Monopolar_Cautery_Hook|Small_Graptor|SureForm_45_Instruments|SynchroSeal,Answer from retrieved context only.,
Q035,Which instruments were used in case Ovarian_Cystectomy_2025-11-07_17-50-00?,"The instruments used in case Ovarian_Cystectomy_2025-11-07_17-50-00 were: Black_Diamond_Micro_Forceps, Endowrist_Stapler_30_Instrument, Force_Bipolar, Maryland_Bipolar_Forceps, Suction Irrigation.",instrument_list,medium,instrument_retrieval,True,Ovarian_Cystectomy_2025-11-07_17-50-00,Ovarian_Cystectomy_2025-11-07_17-50-00.json,instrument_summary,Black_Diamond_Micro_Forceps|Endowrist_Stapler_30_Instrument|Force_Bipolar|Maryland_Bipolar_Forceps|Suction Irrigation,Answer from retrieved context only.,
Q036,Which instrument had the highest connected duration in case Partial_or_Total_Nephrectomy_2025-11-08_15-06-00?,"In case Partial_or_Total_Nephrectomy_2025-11-08_15-06-00, Atrial_Retractor_Short_Right had the highest connected duration: 2423.062095 seconds on PrimaryLeft.",instrument_max,hard,numeric_reasoning,True,Partial_or_Total_Nephrectomy_2025-11-08_15-06-00,Partial_or_Total_Nephrectomy_2025-11-08_15-06-00.json,instrument_summary,Atrial_Retractor_Short_Right|2423.062095,Answer from retrieved context only.,
Q037,Which instrument had the highest connected duration in case Prostatectomy_2025-11-09_17-54-00?,"In case Prostatectomy_2025-11-09_17-54-00, Endowrist_Stapler_30_Instrument had the highest connected duration: 2644.223506 seconds on PrimaryRight.",instrument_max,hard,numeric_reasoning,True,Prostatectomy_2025-11-09_17-54-00,Prostatectomy_2025-11-09_17-54-00.json,instrument_summary,Endowrist_Stapler_30_Instrument|2644.223506,Answer from retrieved context only.,
Q038,Which instrument had the highest connected duration in case Hernia_Repair_2025-11-10_13-11-00?,"In case Hernia_Repair_2025-11-10_13-11-00, Monopolar_Curved_Scissors had the highest connected duration: 3307.81534 seconds on PrimaryRight.",instrument_max,hard,numeric_reasoning,True,Hernia_Repair_2025-11-10_13-11-00,Hernia_Repair_2025-11-10_13-11-00.json,instrument_summary,Monopolar_Curved_Scissors|3307.81534,Answer from retrieved context only.,
Q039,Which instrument had the highest connected duration in case Appendectomy_2025-11-11_12-17-00?,"In case Appendectomy_2025-11-11_12-17-00, Maryland_Bipolar_Forceps had the highest connected duration: 1861.76309 seconds on PrimaryRight.",instrument_max,hard,numeric_reasoning,True,Appendectomy_2025-11-11_12-17-00,Appendectomy_2025-11-11_12-17-00.json,instrument_summary,Maryland_Bipolar_Forceps|1861.76309,Answer from retrieved context only.,
Q040,Which instrument had the highest connected duration in case Hysterectomy_2025-11-12_11-06-00?,"In case Hysterectomy_2025-11-12_11-06-00, Medium_Large_Clip_Applier had the highest connected duration: 2293.757977 seconds on PrimaryRight.",instrument_max,hard,numeric_reasoning,True,Hysterectomy_2025-11-12_11-06-00,Hysterectomy_2025-11-12_11-06-00.json,instrument_summary,Medium_Large_Clip_Applier|2293.757977,Answer from retrieved context only.,
Q041,List the PrimaryLeft and PrimaryRight instruments separately for case Cholecystectomy_2025-11-13_17-46-00.,"For case Cholecystectomy_2025-11-13_17-46-00, PrimaryLeft instruments were: Tenaculum_Forceps, SureForm_45_Instruments, Prograsp_Forceps, Mega_Suturecut_Needle_Driver. PrimaryRight instruments were: Endowrist_Stapler_30_Instrument, Monopolar_Cautery_Hook, SynchroSeal.",instrument_side_grouping,hard,structured_answer,True,Cholecystectomy_2025-11-13_17-46-00,Cholecystectomy_2025-11-13_17-46-00.json,instrument_summary,"Tenaculum_Forceps, SureForm_45_Instruments, Prograsp_Forceps, Mega_Suturecut_Needle_Driver|Endowrist_Stapler_30_Instrument, Monopolar_Cautery_Hook, SynchroSeal",Answer from retrieved context only.,
Q042,List the PrimaryLeft and PrimaryRight instruments separately for case Myomectomy_2025-11-14_08-27-00.,"For case Myomectomy_2025-11-14_08-27-00, PrimaryLeft instruments were: SureForm_45_Instruments, Dual_Blade_Retractor, Mega_Suturecut_Needle_Driver, Suction Irrigation. PrimaryRight instruments were: SynchroSeal, Endowrist_Stapler_30_Instrument, Resano_Forceps, Large_Needle_Driver.",instrument_side_grouping,hard,structured_answer,True,Myomectomy_2025-11-14_08-27-00,Myomectomy_2025-11-14_08-27-00.json,instrument_summary,"SureForm_45_Instruments, Dual_Blade_Retractor, Mega_Suturecut_Needle_Driver, Suction Irrigation|SynchroSeal, Endowrist_Stapler_30_Instrument, Resano_Forceps, Large_Needle_Driver",Answer from retrieved context only.,
Q043,List the PrimaryLeft and PrimaryRight instruments separately for case Ovarian_Cystectomy_2025-11-15_09-28-00.,"For case Ovarian_Cystectomy_2025-11-15_09-28-00, PrimaryLeft instruments were: Tenaculum_Forceps, Small_Graptor, Suction Irrigation. PrimaryRight instruments were: Large_Needle_Driver, SynchroSeal, Endowrist_Stapler_30_Instrument, Long_Bipolar_Grasper.",instrument_side_grouping,hard,structured_answer,True,Ovarian_Cystectomy_2025-11-15_09-28-00,Ovarian_Cystectomy_2025-11-15_09-28-00.json,instrument_summary,"Tenaculum_Forceps, Small_Graptor, Suction Irrigation|Large_Needle_Driver, SynchroSeal, Endowrist_Stapler_30_Instrument, Long_Bipolar_Grasper",Answer from retrieved context only.,
Q044,List the PrimaryLeft and PrimaryRight instruments separately for case Partial_or_Total_Nephrectomy_2025-11-16_08-34-00.,"For case Partial_or_Total_Nephrectomy_2025-11-16_08-34-00, PrimaryLeft instruments were: Atrial_Retractor_Short_Right, Tenaculum_Forceps, Dual_Blade_Retractor. PrimaryRight instruments were: Resano_Forceps, Endowrist_Stapler_30_Instrument, Maryland_Bipolar_Forceps.",instrument_side_grouping,hard,structured_answer,True,Partial_or_Total_Nephrectomy_2025-11-16_08-34-00,Partial_or_Total_Nephrectomy_2025-11-16_08-34-00.json,instrument_summary,"Atrial_Retractor_Short_Right, Tenaculum_Forceps, Dual_Blade_Retractor|Resano_Forceps, Endowrist_Stapler_30_Instrument, Maryland_Bipolar_Forceps",Answer from retrieved context only.,
Q045,List the PrimaryLeft and PrimaryRight instruments separately for case Prostatectomy_2025-11-17_11-45-00.,"For case Prostatectomy_2025-11-17_11-45-00, PrimaryLeft instruments were: Small_Graptor, Cadiere_Forceps. PrimaryRight instruments were: SynchroSeal, Endowrist_Stapler_30_Instrument, Black_Diamond_Micro_Forceps.",instrument_side_grouping,hard,structured_answer,True,Prostatectomy_2025-11-17_11-45-00,Prostatectomy_2025-11-17_11-45-00.json,instrument_summary,"Small_Graptor, Cadiere_Forceps|SynchroSeal, Endowrist_Stapler_30_Instrument, Black_Diamond_Micro_Forceps",Answer from retrieved context only.,
Q046,"For a Cholecystectomy case, what instruments were recorded in Cholecystectomy_2025-10-01_12-34-00.json?","In Cholecystectomy_2025-10-01_12-34-00.json, the Cholecystectomy case used these instruments: Black_Diamond_Micro_Forceps, Maryland_Bipolar_Forceps, Monopolar_Cautery_Hook, Prograsp_Forceps, SureForm_45_Instruments.",filtered_instrument,medium,metadata_plus_semantic,True,Cholecystectomy_2025-10-01_12-34-00,Cholecystectomy_2025-10-01_12-34-00.json,instrument_summary,"Cholecystectomy|Black_Diamond_Micro_Forceps, Maryland_Bipolar_Forceps, Monopolar_Cautery_Hook, Prograsp_Forceps, SureForm_45_Instruments",Answer from retrieved context only.,
Q047,"For a Myomectomy case, what instruments were recorded in Myomectomy_2025-10-02_14-51-00.json?","In Myomectomy_2025-10-02_14-51-00.json, the Myomectomy case used these instruments: Endowrist_Stapler_30_Instrument, Force_Bipolar, Long_Tip_Forceps, Maryland_Bipolar_Forceps, Medium_Large_Clip_Applier, Resano_Forceps, Small_Graptor, Tenaculum_Forceps.",filtered_instrument,medium,metadata_plus_semantic,True,Myomectomy_2025-10-02_14-51-00,Myomectomy_2025-10-02_14-51-00.json,instrument_summary,"Myomectomy|Endowrist_Stapler_30_Instrument, Force_Bipolar, Long_Tip_Forceps, Maryland_Bipolar_Forceps, Medium_Large_Clip_Applier, Resano_Forceps, Small_Graptor, Tenaculum_Forceps",Answer from retrieved context only.,
Q048,"For a Ovarian Cystectomy case, what instruments were recorded in Ovarian_Cystectomy_2025-10-03_10-12-00.json?","In Ovarian_Cystectomy_2025-10-03_10-12-00.json, the Ovarian Cystectomy case used these instruments: Force_Bipolar, Large_Needle_Driver, Medium_Large_Clip_Applier, Monopolar_Curved_Scissors, Potts_Scissors.",filtered_instrument,medium,metadata_plus_semantic,True,Ovarian_Cystectomy_2025-10-03_10-12-00,Ovarian_Cystectomy_2025-10-03_10-12-00.json,instrument_summary,"Ovarian Cystectomy|Force_Bipolar, Large_Needle_Driver, Medium_Large_Clip_Applier, Monopolar_Curved_Scissors, Potts_Scissors",Answer from retrieved context only.,
Q049,"For a Partial or Total Nephrectomy case, what instruments were recorded in Partial_or_Total_Nephrectomy_2025-10-04_12-48-00.json?","In Partial_or_Total_Nephrectomy_2025-10-04_12-48-00.json, the Partial or Total Nephrectomy case used these instruments: Cadiere_Forceps, Large_Clip_Applier, Large_Needle_Driver, Long_Tip_Forceps, Maryland_Bipolar_Forceps, Potts_Scissors, Suction Irrigation.",filtered_instrument,medium,metadata_plus_semantic,True,Partial_or_Total_Nephrectomy_2025-10-04_12-48-00,Partial_or_Total_Nephrectomy_2025-10-04_12-48-00.json,instrument_summary,"Partial or Total Nephrectomy|Cadiere_Forceps, Large_Clip_Applier, Large_Needle_Driver, Long_Tip_Forceps, Maryland_Bipolar_Forceps, Potts_Scissors, Suction Irrigation",Answer from retrieved context only.,
Q050,"For a Prostatectomy case, what instruments were recorded in Prostatectomy_2025-10-05_11-49-00.json?","In Prostatectomy_2025-10-05_11-49-00.json, the Prostatectomy case used these instruments: Large_Needle_Driver, Monopolar_Cautery_Hook, Resano_Forceps, Suction Irrigation, SureForm_45_Instruments.",filtered_instrument,medium,metadata_plus_semantic,True,Prostatectomy_2025-10-05_11-49-00,Prostatectomy_2025-10-05_11-49-00.json,instrument_summary,"Prostatectomy|Large_Needle_Driver, Monopolar_Cautery_Hook, Resano_Forceps, Suction Irrigation, SureForm_45_Instruments",Answer from retrieved context only.,
Q051,"For a Hernia Repair case, what instruments were recorded in Hernia_Repair_2025-10-06_16-03-00.json?","In Hernia_Repair_2025-10-06_16-03-00.json, the Hernia Repair case used these instruments: Cadiere_Forceps, Endowrist_Stapler_30_Instrument, Large_Clip_Applier, Long_Bipolar_Grasper, Medium_Large_Clip_Applier, Potts_Scissors.",filtered_instrument,medium,metadata_plus_semantic,True,Hernia_Repair_2025-10-06_16-03-00,Hernia_Repair_2025-10-06_16-03-00.json,instrument_summary,"Hernia Repair|Cadiere_Forceps, Endowrist_Stapler_30_Instrument, Large_Clip_Applier, Long_Bipolar_Grasper, Medium_Large_Clip_Applier, Potts_Scissors",Answer from retrieved context only.,
Q052,"For a Appendectomy case, what instruments were recorded in Appendectomy_2025-10-07_13-28-00.json?","In Appendectomy_2025-10-07_13-28-00.json, the Appendectomy case used these instruments: Atrial_Retractor_Short_Right, Long_Bipolar_Grasper, Long_Tip_Forceps, Medium_Large_Clip_Applier, Mega_Suturecut_Needle_Driver.",filtered_instrument,medium,metadata_plus_semantic,True,Appendectomy_2025-10-07_13-28-00,Appendectomy_2025-10-07_13-28-00.json,instrument_summary,"Appendectomy|Atrial_Retractor_Short_Right, Long_Bipolar_Grasper, Long_Tip_Forceps, Medium_Large_Clip_Applier, Mega_Suturecut_Needle_Driver",Answer from retrieved context only.,
Q053,"For a Hysterectomy case, what instruments were recorded in Hysterectomy_2025-10-08_12-14-00.json?","In Hysterectomy_2025-10-08_12-14-00.json, the Hysterectomy case used these instruments: Black_Diamond_Micro_Forceps, Endowrist_Stapler_30_Instrument, Force_Bipolar, Long_Bipolar_Grasper, Medium_Large_Clip_Applier, Potts_Scissors.",filtered_instrument,medium,metadata_plus_semantic,True,Hysterectomy_2025-10-08_12-14-00,Hysterectomy_2025-10-08_12-14-00.json,instrument_summary,"Hysterectomy|Black_Diamond_Micro_Forceps, Endowrist_Stapler_30_Instrument, Force_Bipolar, Long_Bipolar_Grasper, Medium_Large_Clip_Applier, Potts_Scissors",Answer from retrieved context only.,
